"","X.1","X","crime","number","date","location","beat","neighborhood","npu","lat","long","temp","precipitation","cluster","occurence"
"4759",247100,247099,"AGG ASSAULT",92190416,"08/07/2009","178 MOURY AVE SW",305,"The Villages at Carver","Y",33.71299,-84.3913,25.4916666666667,0,2,1151
"4760",91674,91673,"AGG ASSAULT",90021500,"01/02/2009","337 FLETCHER ST SW",302,"Pittsburgh","V",33.72578,-84.39909,5.7875,0.4,3,1868
"4761",90321,90320,"LARCENY-FROM VEHICLE",90130725,"01/13/2009","350 PETERS ST SW",507,"Castleberry Hill","M",33.7452,-84.40406,4.18333333333333,0,3,1868
"4762",146211,146210,"LARCENY-NON VEHICLE",150922702,"04/02/2015","1250 W PACES FERRY RD NW",202,"West Paces Ferry/Northside","A",33.84862,-84.42869,17.275,0.5,7,688
"4763",151441,151440,"BURGLARY-RESIDENCE",90932262,"04/03/2009","1726 PIPER CIR SE",612,"East Atlanta","W",33.72732,-84.33108,14.0958333333333,6.8,9,587
"4764",40693,40692,"LARCENY-FROM VEHICLE",143230226,"11/19/2014","1297 CAHABA DR SW",408,"Venetian Hills","S",33.719,-84.44869,-0.708333333333334,0,3,1868
"4765",246627,246626,"ROBBERY-PEDESTRIAN",92230210,"08/11/2009","306 BURBANK DR NW",105,"Hunter Hills","K",33.76312,-84.42943,28.4208333333333,0.9,3,1868
"4766",27422,27421,"AUTO THEFT",110130316,"01/13/2011","405 FAIRBURN RD SW",407,"Wildwood (NPU-H)","H",33.74367,-84.50959,-6.18333333333333,0,6,1164
"4767",156641,156640,"BURGLARY-NONRES",111341654,"05/14/2011","370 TARRAGON WAY SW",407,"Wilson Mill Meadows","H",33.75238,-84.51609,20.8333333333333,2.8,6,1164
"4768",8854,8853,"LARCENY-FROM VEHICLE",122792289,"10/05/2012","2079 BOLTON RD NW",203,"Riverside","D",33.81207,-84.47274,20.1125,0,6,1164
"4769",92245,92244,"LARCENY-NON VEHICLE",100541845,"02/23/2010","150 10TH ST NE",503,"Midtown","E",33.78185,-84.38199,8.7875,0,8,1609
"4770",251183,251182,"BURGLARY-RESIDENCE",112711385,"09/28/2011","252 ARGUS CIR NW",111,"Adamsville","H",33.76217,-84.50493,22.475,1.3,6,1164
"4771",64457,64456,"LARCENY-NON VEHICLE",93151392,"11/11/2009","265 PEACHTREE CENTER AVE NE",509,"Downtown","M",33.76158,-84.38496,13.7583333333333,37.5,8,1609
"4772",225176,225175,"LARCENY-FROM VEHICLE",102290279,"08/17/2010","3181 DONALD LEE HOLLOWELL PKWY NW @PETRO TRUCK STOP",113,"Brookview Heights","G",33.78619,-84.49113,26.1916666666667,7.7,6,1164
"4773",125475,125474,"BURGLARY-RESIDENCE",160882800,"03/28/2016","921 WESTMORELAND CIR NW",110,"West Highlands","G",33.78956,-84.44919,16.9541666666667,0.1,7,688
"4774",10235,10234,"LARCENY-FROM VEHICLE",132931826,"10/20/2013","1565 CENTRA VILLA DR SW",409,"Adams Park","R",33.71312,-84.45443,13.7791666666667,0,3,1868
"4775",14226,14225,"LARCENY-FROM VEHICLE",142782029,"10/05/2014","133 TRINITY AVE SW @CITY PLAZA",512,"Downtown","M",33.74899,-84.39215,13.3208333333333,0,8,1609
"4776",134807,134806,"AUTO THEFT",111060878,"04/16/2011","1093 WEST AVE SW",302,"Pittsburgh","V",33.72463,-84.39704,16.4958333333333,14.9,3,1868
"4777",29448,29447,"LARCENY-NON VEHICLE",103261015,"11/22/2010","945 BURNS DR SW",306,"Sylvan Hills","X",33.71218,-84.4192,15.1416666666667,0.1,3,1868
"4778",229476,229475,"LARCENY-NON VEHICLE",112190993,"08/07/2011","1631 STANTON RD SW",408,"","R",33.71076,-84.4438,27.7625,2.4,3,1868
"4779",240855,240854,"ROBBERY-PEDESTRIAN",152220412,"08/10/2015","2899 HAPEVILLE RD SW",311,"Glenrose Heights","Z",33.67534,-84.39355,28.2875,1.9,2,1151
"4780",200367,200366,"AGG ASSAULT",102001285,"07/19/2010","3324 PEACHTREE RD NE",208,"North Buckhead","B",33.84595,-84.36852,26.7666666666667,0,4,966
"4781",72950,72949,"LARCENY-NON VEHICLE",123511027,"12/16/2012","3393 PEACHTREE ROAD",210,"Lenox","B",33.84676,-84.36212,12.025,6.1,4,966
"4782",68570,68569,"ROBBERY-PEDESTRIAN",103351230,"12/01/2010","425 CHAPPELL RD NW",106,"Bankhead","K",33.76722,-84.43255,5.2875,17.9,3,1868
"4783",51609,51608,"BURGLARY-RESIDENCE",130132068,"01/13/2013","520 FULTON ST SW",303,"Mechanicsville","V",33.74092,-84.40419,17.2875,0.4,3,1868
"4784",145520,145519,"ROBBERY-PEDESTRIAN",151021245,"04/12/2015","1572 HARDEE ST. ",609,"Edgewood","O",33.75589,-84.33647,16.0333333333333,1.7,9,587
"4785",122630,122629,"ROBBERY-PEDESTRIAN",140642625,"03/05/2014","835 MARTIN LUTHER KING JR DR",102,"Vine City","L",33.75504,-84.41457,5.21666666666667,3,3,1868
"4786",57957,57956,"LARCENY-FROM VEHICLE",160281574,"01/28/2016","2 11TH ST NW",503,"Midtown","E",33.78335,-84.3876,7.58333333333333,0,8,1609
"4787",179459,179458,"ROBBERY-PEDESTRIAN",111701236,"06/19/2011","50 ALABAMA ST SW",511,"Downtown","M",33.75194,-84.38964,26.9583333333333,0,8,1609
"4788",193919,193918,"LARCENY-NON VEHICLE",161681188,"06/16/2016","1075 MORELAND AVE SE",607,"Ormewood Park","W",33.72517,-84.3497,26.6708333333333,0,9,587
"4789",99750,99749,"BURGLARY-NONRES",130361418,"02/05/2013","1387 NORTHSIDE DR NW",207,"Loring Heights","E",33.79266,-84.40727,7.04166666666667,0,7,688
"4790",42454,42453,"AUTO THEFT",143050384,"11/01/2014","299 PETERS ST SW",507,"Castleberry Hill","M",33.74667,-84.403,6.2875,0.2,3,1868
"4791",67808,67807,"LARCENY-FROM VEHICLE",103411694,"12/07/2010","25TH ST NW / PEACHTREE ST NE",207,"Brookwood Hills","E",33.80149,-84.39277,-0.891666666666667,0,7,688
"4792",241018,241017,"AUTO THEFT",152201273,"08/08/2015","206 HUTCHINSON ST NE",609,"Edgewood","O",33.75942,-84.34093,26.0041666666667,0,9,587
"4793",246526,246525,"LARCENY-NON VEHICLE",92241279,"08/12/2009","1853 CHESHIRE BRIDGE RD NE;",213,"Morningside/Lenox Park","F",33.80935,-84.3617,25.9416666666667,6.2,4,966
"4794",8658,8657,"LARCENY-FROM VEHICLE",122811735,"10/07/2012","255 PETERS ST SW",507,"Castleberry Hill","M",33.74747,-84.40182,16.5208333333333,0,3,1868
"4795",94267,94266,"LARCENY-FROM VEHICLE",110550410,"02/24/2011","771 FALCON DR SW",406,"Audobon Forest","I",33.73433,-84.47611,13.5416666666667,0,6,1164
"4796",1814,1813,"LARCENY-NON VEHICLE",102880686,"10/15/2010","240 MAYNARD TER S.E.",610,"Kirkwood","O",33.7454,-84.33373,15.925,0,9,587
"4797",213089,213088,"ROBBERY-PEDESTRIAN",141981903,"07/17/2014","3700 MAYS XING SW",407,"Fairburn Mays","H",33.73309,-84.51122,22.8166666666667,0,6,1164
"4798",83113,83112,"LARCENY-FROM VEHICLE",163561473,"12/21/2016","171 AUBURN AVE NE ",510,"Downtown","M",33.75546,-84.38185,4.97083333333333,0,1,1118
"4799",114714,114713,"LARCENY-NON VEHICLE",110720636,"03/13/2011","680 PONCE DE LEON AVE NE",506,"Midtown","E",33.77406,-84.36528,13.725,0,1,1118
"4800",65305,65304,"ROBBERY-PEDESTRIAN",93071974,"11/03/2009","1880 VERBENA STREET",108,"Penelope Neighbors","J",33.75367,-84.45787,12.9083333333333,0,6,1164
"4801",248643,248642,"LARCENY-FROM VEHICLE",102661265,"09/23/2010","8 PEACHTREE BATTLE AVENUE",205,"Peachtree Battle Alliance","C",33.8201,-84.39032,26.9333333333333,0,4,966
"4802",19646,19645,"LARCENY-FROM VEHICLE",162770342,"10/03/2016","431 MARIETTA ST NW",504,"Downtown","M",33.76495,-84.39684,21.6375,0,8,1609
"4803",232183,232182,"BURGLARY-RESIDENCE",122240667,"08/11/2012","365 BETSY AVE SW",405,"Florida Heights","I",33.7459,-84.45825,23.4458333333333,10.9,6,1164
"4804",182689,182688,"AUTO THEFT",121690660,"06/17/2012","2399 PIEDMONT RD NE",211,"Lindbergh/Morosgo","B",33.82039,-84.36744,22.3708333333333,0,4,966
"4805",84875,84874,"LARCENY-FROM VEHICLE",93650438,"12/31/2009","161 SPRING ST NW",508,"Downtown","M",33.75879,-84.38975,5.7375,8.7,8,1609
"4806",62001,62000,"BURGLARY-RESIDENCE",170042627,"01/04/2017","740 PASLEY AVE SE",612,"East Atlanta","W",33.73407,-84.33723,11.0666666666667,0,9,587
"4807",145752,145751,"LARCENY-NON VEHICLE",150992030,"04/09/2015","2525 PIEDMONT RD NE @HOME DEPOT",211,"Lindbergh/Morosgo","B",33.824,-84.36521,21.5083333333333,0,4,966
"4808",146247,146246,"LARCENY-NON VEHICLE",150921392,"04/02/2015","595 PIEDMONT AVE NE ",603,"Old Fourth Ward","M",33.77067,-84.38023,16.9208333333333,0.5,8,1609
"4809",197726,197725,"LARCENY-NON VEHICLE",91601146,"06/09/2009","4076 PEACHTREE DUNWOODY RD NE",209,"North Buckhead","B",33.86636,-84.35827,24.3166666666667,0,4,966
"4810",75982,75981,"LARCENY-FROM VEHICLE",133451174,"12/11/2013","2343 NISKEY LAKE RD SW",413,"Elmco Estates","P",33.69104,-84.52772,3.38333333333333,0,5,849
"4811",154513,154512,"LARCENY-FROM VEHICLE",101240471,"05/04/2010","1229 ALLENE AVE SW",301,"Capitol View","X",33.72146,-84.41299,20.0583333333333,0,3,1868
"4812",62846,62845,"LARCENY-FROM VEHICLE",93290521,"11/25/2009","33 DANIEL AVE SE",611,"East Lake","O",33.75072,-84.29872,11.1416666666667,0,9,587
"4813",246710,246709,"BURGLARY-RESIDENCE",92232032,"08/11/2009","668 KENNOLIA DR SW",404,"Westwood Terrace","I",33.73696,-84.44861,27.9541666666667,0.9,3,1868
"4814",269506,269505,"AUTO THEFT",92541916,"09/11/2009","3621 GINNIS RD SW",407,"Fairburn Mays","H",33.73175,-84.51161,20.8083333333333,5.5,5,849
"4815",26571,26570,"LARCENY-FROM VEHICLE",110230791,"01/23/2011","1454 BEECHER ST SW",402,"Oakland City","S",33.73313,-84.4352,0.320833333333333,0,3,1868
"4816",14766,14765,"LARCENY-FROM VEHICLE",153021300,"10/29/2015","826 MARIETTA ST NW",504,"Marietta Street Artery","E",33.77477,-84.4067,15.925,0.9,8,1609
"4817",180972,180971,"AUTO THEFT",111550931,"06/04/2011","55 MORRIS BROWN DR SW",104,"Just Us","T",33.7534,-84.42442,28.475,0.8,3,1868
"4818",155371,155370,"LARCENY-NON VEHICLE",111462182,"05/26/2011","967 WHITE ST SW",401,"West End","T",33.73244,-84.41956,25.9208333333333,3.9,3,1868
"4819",89922,89921,"BURGLARY-RESIDENCE",90171243,"01/17/2009","1342 HIGH FALLS CT SW",409,"Cascade Heights","I",33.71835,-84.49354,-2.41666666666667,0,5,849
"4820",43196,43195,"LARCENY-FROM VEHICLE",153250938,"11/21/2015","301 ATLANTA AVE SE",605,"Grant Park","W",33.73001,-84.37797,10.6041666666667,0.1,1,1118
"4821",55932,55931,"LARCENY-FROM VEHICLE",150222507,"01/22/2015","3209 MAPLE DR NE",206,"Buckhead Village","B",33.84185,-84.37225,7.3875,0,4,966
"4822",237553,237552,"LARCENY-NON VEHICLE",142270393,"08/15/2014","1917 PRYOR RD SW",307,"Lakewood Heights","Y",33.70213,-84.39915,24.4541666666667,0,2,1151
"4823",169387,169386,"BURGLARY-RESIDENCE",161511904,"05/30/2016","210 GREENHAVEN DR SE",611,"The Villages at East Lake","O",33.74157,-84.31314,24.6166666666667,0,9,587
"4824",126448,126447,"LARCENY-FROM VEHICLE",160730539,"03/13/2016","2 12TH ST NW",503,"Midtown","E",33.78434,-84.38803,18.8541666666667,10,8,1609
"4825",171068,171067,"LARCENY-FROM VEHICLE",161300502,"05/09/2016","76 4TH ST NW",505,"Midtown","E",33.77487,-84.38975,21.7875,0,8,1609
"4826",264783,264782,"LARCENY-FROM VEHICLE",152451152,"09/02/2015","445 CLEVELAND AVE SE",312,"Rosedale Heights","Z",33.68149,-84.37152,26.2541666666667,0.1,2,1151
"4827",26458,26457,"LARCENY-FROM VEHICLE",110242337,"01/24/2011","300 MARTIN L KING JR DR SE",605,"Oakland","W",33.74803,-84.37875,3.08333333333333,0,1,1118
"4828",58240,58239,"LARCENY-NON VEHICLE",160252327,"01/25/2016","1380 ATLANTIC DR NW",501,"Atlantic Station","E",33.79282,-84.39779,3.23333333333333,0,8,1609
"4829",168119,168118,"LARCENY-FROM VEHICLE",151331741,"05/13/2015","715 PEACHTREE ST NE",505,"Midtown","E",33.774,-84.38412,22.3166666666667,0,8,1609
"4830",254907,254906,"LARCENY-FROM VEHICLE",122642863,"09/20/2012","3759 N CAMP CREEK PKWY SW",414,"Deerwood","P",33.67542,-84.5114,20.9416666666667,0,5,849
"4831",153156,153155,"LARCENY-NON VEHICLE",101382099,"05/18/2010","1491 LANGSTON AVE SW",306,"Sylvan Hills","X",33.71406,-84.42481,21.3625,0.1,3,1868
"4832",91909,91908,"AGG ASSAULT",100580421,"02/27/2010","80 JESSE HILL JR DR",510,"Downtown","M",33.74988,-84.38306,2.29583333333333,0,1,1118
"4833",161045,161044,"LARCENY-FROM VEHICLE",131510609,"05/31/2013","1733 MCLENDON AVE NE",608,"Lake Claire","N",33.76464,-84.3307,23.8208333333333,0,9,587
"4834",92113,92112,"LARCENY-FROM VEHICLE",100562282,"02/25/2010","1517 RALPH D ABERNATHY BLVD SW",404,"Westview","T",33.74284,-84.43709,0.408333333333333,0,3,1868
"4835",191391,191390,"LARCENY-FROM VEHICLE",151671048,"06/16/2015","626 DEKALB AVE SE",604,"Old Fourth Ward","M",33.75283,-84.36687,27.6041666666667,0.3,1,1118
"4836",200437,200436,"AUTO THEFT",101990810,"07/18/2010","1959 METROPOLITAN PKWY SW",306,"Sylvan Hills","X",33.7008,-84.41018,25.3208333333333,14.5,2,1151
"4837",56320,56319,"LARCENY-FROM VEHICLE",150171125,"01/17/2015","775 HOLMES ST NW",207,"Berkeley Park","D",33.79974,-84.41379,4.2375,0,7,688
"4838",106523,106522,"LARCENY-NON VEHICLE",170511415,"02/20/2017","1388 LA FRANCE ST NE",609,"Edgewood","O",33.7608,-84.34229,13.3541666666667,0,9,587
"4839",228839,228838,"LARCENY-FROM VEHICLE",112251153,"08/13/2011","1238 PORTLAND AVE SE",612,"East Atlanta","W",33.73923,-84.34706,28.5166666666667,0.1,9,587
"4840",160036,160035,"LARCENY-NON VEHICLE",121322546,"05/11/2012","1801 HOWELL MILL RD NW",204,"Berkeley Park","D",33.80388,-84.41278,18.5375,0,7,688
"4841",48113,48112,"ROBBERY-PEDESTRIAN",120191023,"01/19/2012","337 FLETCHER ST SW",302,"Pittsburgh","V",33.72578,-84.39909,3.53333333333333,0,3,1868
"4842",82899,82898,"LARCENY-NON VEHICLE",163591871,"12/24/2016","2080 CAMPBELLTON RD SW",410,"Campbellton Road","R",33.70649,-84.45703,12.5041666666667,0,5,849
"4843",220743,220742,"ROBBERY-PEDESTRIAN",92060276,"07/25/2009","1299 WHITE ST SW",402,"West End","T",33.73707,-84.42905,25.2041666666667,0,3,1868
"4844",95835,95834,"BURGLARY-NONRES",110320413,"02/01/2011","2740 GREENBRIAR PKWY SW",411,"Greenbriar","R",33.68887,-84.48877,8.74166666666667,2.2,5,849
"4845",145616,145615,"BURGLARY-RESIDENCE",151003209,"04/10/2015","316 9TH ST NE",503,"Midtown","E",33.78065,-84.37662,21.0958333333333,8.8,8,1609
"4846",137503,137502,"BURGLARY-RESIDENCE",121092011,"04/18/2012","20 STANDISH AVE NW",207,"Brookwood","E",33.79906,-84.39429,17.9416666666667,22.4,7,688
"4847",20002,20001,"AUTO THEFT",93032267,"10/30/2009","40 SIMPSON ST NW",508,"Downtown","M",33.76322,-84.38868,16.7708333333333,0.6,8,1609
"4848",148261,148260,"BURGLARY-RESIDENCE",160962253,"04/05/2016","1298 BOLTON RD NW",114,"English Park","G",33.79026,-84.49369,13.8791666666667,0,6,1164
"4849",231238,231237,"AUTO THEFT",122341293,"08/21/2012","940 NEW TOWN CIR SE",308,"Thomasville Heights","Z",33.70838,-84.3593,23.0083333333333,0,2,1151
"4850",29550,29549,"ROBBERY-PEDESTRIAN",103242348,"11/20/2010","474 CHAMBERLAIN ST SE",604,"Old Fourth Ward","M",33.75376,-84.37205,11.4041666666667,0,1,1118
"4851",269417,269416,"AGG ASSAULT",92551707,"09/12/2009","336 JOSEPH E LOWREY/ JOSEPH E BOONE",105,"Washington Park","K",33.76347,-84.41747,22.5416666666667,0.4,3,1868
"4852",33479,33478,"LARCENY-NON VEHICLE",113161145,"11/12/2011","998 REDFORD DR SE",308,"Rebel Valley Forest","Z",33.68851,-84.35714,8.62916666666667,0,2,1151
"4853",225726,225725,"LARCENY-FROM VEHICLE",102241667,"08/12/2010","388 GRANT ST SE",605,"Grant Park","W",33.74401,-84.37609,30.5625,0,1,1118
"4854",164776,164775,"LARCENY-FROM VEHICLE",141421441,"05/22/2014","1040 HUFF RD NW",203,"Blandtown","D",33.78868,-84.42207,22.8083333333333,0,7,688
"4855",140385,140384,"BURGLARY-RESIDENCE",131050939,"04/15/2013","814 LYNHURST DRIVE SW",406,"","I",33.73383,-84.48798,15.7541666666667,0.3,6,1164
